date,stock_name,shares,close,value,pnl
20250506,好上好,1400,28.88,40432.0,1750.0
20250506,广誉远,2000,19.49,38980.0,579.9999999999983
20250506,丸美生物,900,46.31,41679.0,1835.9999999999993
20250506,百龙创园,1900,21.58,41002.0,1557.9999999999939
20250507,好上好,1400,28.15,39410.0,727.9999999999994
20250507,广誉远,2100,19.3,40530.0,210.00000000000298
20250507,丸美生物,900,47.81,43029.0,3185.999999999999
20250507,上海电影,1200,32.5,39000.0,384.00000000000034
20250508,好上好,1400,28.61,40054.0,1372.0000000000007
20250508,广誉远,2100,19.37,40677.0,357.0000000000036
20250508,丸美生物,900,46.1,41490.0,1646.9999999999984
20250508,上海电影,1200,32.74,39288.0,672.0000000000027
20250508,蓝帆医疗,8100,5.1,41310.0,-81.00000000000547
20250508,鼎际得,200,24.77,4954.0,19.999999999999574
20250508,道道全,100,9.82,982.0,-4.999999999999893
20250508,华丽家族,100,2.76,276.0,3.999999999999959
20250509,广誉远,2100,19.61,41181.0,861.0000000000003
20250509,丸美生物,900,48.58,43722.0,3878.9999999999955
20250509,蓝帆医疗,8000,5.17,41360.0,479.9999999999969
20250509,鼎际得,1600,24.65,39440.0,-32.000000000005
20250512,广誉远,2100,19.9,41790.0,1469.9999999999984
20250512,丸美生物,900,48.16,43344.0,3500.999999999994
20250512,蓝帆医疗,8000,5.26,42080.0,1199.9999999999957
20250512,鼎际得,1600,25.06,40096.0,623.9999999999952
20250512,海陆重工,4400,9.38,41272.0,132.000000000005
20250512,兰石重装,200,7.35,1470.0,17.99999999999997
20250512,渤海化学,100,3.6,360.0,-0.9999999999999787
20250513,广誉远,2100,21.12,44352.0,4032.0000000000036
20250513,丸美生物,900,48.85,43965.0,4121.999999999998
20250513,蓝帆医疗,8000,5.25,42000.0,1119.9999999999975
20250513,鼎际得,1600,25.58,40928.0,1455.9999999999945
20250513,海陆重工,4400,9.37,41228.0,87.99999999999812
20250513,兰石重装,200,7.41,1482.0,30.00000000000007
20250513,渤海化学,100,3.64,364.0,3.000000000000025
20250514,广誉远,2100,21.03,44163.0,3843.000000000004
20250514,丸美生物,900,47.75,42975.0,3131.9999999999973
20250514,蓝帆医疗,8000,5.26,42080.0,1199.9999999999957
20250514,鼎际得,1600,25.71,41136.0,1663.9999999999986
20250514,海陆重工,4400,9.37,41228.0,87.99999999999812
20250514,兰石重装,200,7.47,1494.0,41.99999999999999
20250514,渤海化学,100,4.0,400.0,39.000000000000014
20250515,广誉远,2100,20.68,43428.0,3108.000000000001
20250515,丸美生物,900,52.53,47277.0,7433.999999999998
20250515,蓝帆医疗,8100,5.24,42444.0,1052.999999999999
20250515,鼎际得,1600,25.58,40928.0,1455.9999999999945
20250515,海陆重工,4500,9.37,42165.0,89.99999999999808
20250516,广誉远,2100,21.02,44142.0,3822.0000000000005
20250516,蓝帆医疗,8100,5.25,42525.0,1133.9999999999975
20250516,海陆重工,4500,9.74,43830.0,1755.0000000000025
20250519,蓝帆医疗,8200,5.31,43542.0,1639.999999999994
20250519,海陆重工,4500,9.82,44190.0,2115.0000000000027
20250519,西王食品,13400,3.27,43818.0,2277.999999999999
20250519,电投产融,5700,7.69,43833.0,1995.000000000003
20250519,浙江永强,10800,4.04,43632.0,324.0000000000027
20250520,蓝帆医疗,8200,5.38,44116.0,2213.9999999999964
20250520,海陆重工,4600,9.63,44298.0,1288.0000000000052
20250520,西王食品,13400,3.33,44622.0,3081.9999999999995
20250520,电投产融,5900,7.52,44368.0,1061.9999999999984
20250520,浙江永强,11000,4.01,44110.0,0.0
20250521,蓝帆医疗,8000,5.47,43760.0,2879.9999999999955
20250521,电投产融,5900,7.41,43719.0,413.0000000000017
20250522,蓝帆医疗,8200,5.34,43788.0,1885.9999999999961
20250522,广博股份,4100,11.0,45100.0,3812.9999999999986
20250522,西昌电力,2600,17.58,45707.99999999999,2833.9999999999995
20250522,贝因美,6800,6.48,44064.0,-271.9999999999942
20250523,蓝帆医疗,8000,5.42,43360.0,2479.999999999997
20250523,广博股份,4300,10.05,43215.0,-85.99999999999817
20250523,圣阳股份,3100,14.3,44330.0,3317.000000000001
20250526,广博股份,4200,10.46,43932.0,1638.0000000000023
20250526,圣阳股份,3100,13.96,43276.0,2263.0000000000014
20250526,美邦股份,2300,19.37,44551.0,1725.0
20250526,四创电子,1900,23.3,44270.0,1425.0
20250527,广博股份,3800,11.51,43738.0,5471.999999999998
20250527,圣阳股份,3100,14.42,44702.0,3688.9999999999986
20250527,美邦股份,2100,21.31,44751.0,5648.999999999995
20250527,四创电子,1800,25.63,46134.0,5543.999999999997
20250527,沃特股份,2100,20.58,43218.0,1301.9999999999945
20250528,圣阳股份,3400,14.16,48144.0,3161.999999999999
20250528,美邦股份,2100,23.44,49224.0,10122.0
20250528,沃特股份,2300,20.7,47610.0,1701.9999999999964
20250529,圣阳股份,3300,14.45,47685.0,4025.9999999999964
20250529,辉隆股份,8400,5.69,47796.0,924.0000000000027
20250529,中农联合,2800,17.01,47628.00000000001,-27.99999999999443
20250529,雪龙集团,2100,21.88,45948.0,-2793.000000000004
20250529,利尔化学,4000,11.86,47440.0,1599.9999999999943
20250529,黄河旋风,100,4.33,433.0,8.000000000000007
20250530,圣阳股份,3300,14.69,48477.0,4817.999999999997
20250530,中农联合,2700,17.5,47250.0,1296.0000000000011
20250530,利尔化学,4100,11.46,46986.0,0.0
20250603,圣阳股份,3200,15.1,48320.0,5983.999999999997
20250603,中马传动,2800,16.95,47460.0,1175.9999999999948
20250604,神开股份,5000,9.66,48300.0,2350.000000000003
20250604,莫高股份,8200,5.89,48298.0,1229.9999999999957
20250605,昭衍新药,2500,19.13,47825.0,-200.0000000000046
20250605,速达股份,1100,42.3,46530.0,-2332.000000000005
20250605,联合精密,2000,23.88,47760.0,879.9999999999955
20250606,联合精密,2000,24.52,49040.0,2159.9999999999964
20250606,诺邦股份,2800,17.17,48076.00000000001,-979.9999999999941
20250609,联合精密,2000,24.33,48660.0,1779.999999999994
20250609,诺邦股份,2800,17.69,49532.0,476.0000000000048
20250610,联合精密,2000,24.49,48980.0,2099.9999999999945
20250610,美邦股份,2300,21.0,48300.0,91.99999999999804
20250610,津投城开,18500,2.66,49210.0,185.00000000000426
20250610,丹化科技,14800,3.32,49136.0,296.0000000000003
20250611,联合精密,2000,24.79,49580.0,2699.999999999996
20250611,津投城开,17900,2.68,47972.0,537.0000000000044
20250611,丹化科技,14500,3.32,48140.0,290.0000000000003
20250611,科华数据,1100,42.82,47102.0,-22.00000000000344
20250611,通鼎互联,8200,5.83,47806.0,-246.00000000000205
20250612,津投城开,17600,2.71,47696.0,1056.000000000001
20250613,津投城开,16800,2.88,48384.0,3863.9999999999995
20250613,润都股份,3300,14.36,47388.0,626.9999999999984
20250613,天安新材,5800,8.3,48140.00000000001,754.0000000000045
20250616,津投城开,17100,2.84,48564.0,3248.999999999999
20250616,润都股份,3300,14.38,47454.0,693.0000000000028
20250616,天安新材,5900,8.17,48203.0,0.0
20250616,融发核电,6400,7.69,49216.0,2112.0000000000005
20250616,若羽臣,800,59.97,47976.0,1471.999999999997
20250617,津投城开,16700,2.89,48263.0,4008.0000000000036
20250617,融发核电,5700,8.46,48222.00000000001,6270.000000000003
20250617,若羽臣,800,63.53,50824.0,4319.999999999999
20250618,先达股份,4900,10.02,49098.0,-147.00000000000557
20250619,成飞集成,1300,36.08,46904.0,-1767.9999999999993
20250619,英派斯,2200,21.78,47916.0,-1958.0000000000014
20250620,海联金汇,5500,8.61,47355.0,-1375.0
20250620,新炬网络,1600,28.39,45424.0,-3551.999999999998
20250620,苏州龙杰,2800,16.79,47012.0,-3836.0000000000027
20250620,楚天龙,2000,23.33,46660.0,6859.999999999999
20250623,海联金汇,5000,9.47,47350.0,3050.000000000006
20250623,捷荣技术,2400,18.71,44904.0,1344.0000000000055
