date,stock_names
20250506,"丸美生物,好上好,广誉远,百龙创园"
20250507,"上海电影,丸美生物,好上好,广誉远"
20250508,"上海电影,丸美生物,华丽家族,好上好,广誉远,蓝帆医疗,道道全,鼎际得"
20250509,"丸美生物,广誉远,蓝帆医疗,鼎际得"
20250512,"丸美生物,兰石重装,广誉远,海陆重工,渤海化学,蓝帆医疗,鼎际得"
20250513,"丸美生物,兰石重装,广誉远,海陆重工,渤海化学,蓝帆医疗,鼎际得"
20250514,"丸美生物,兰石重装,广誉远,海陆重工,渤海化学,蓝帆医疗,鼎际得"
20250515,"丸美生物,广誉远,海陆重工,蓝帆医疗,鼎际得"
20250516,"广誉远,海陆重工,蓝帆医疗"
20250519,"浙江永强,海陆重工,电投产融,蓝帆医疗,西王食品"
20250520,"浙江永强,海陆重工,电投产融,蓝帆医疗,西王食品"
20250521,"电投产融,蓝帆医疗"
20250522,"广博股份,蓝帆医疗,西昌电力,贝因美"
20250523,"圣阳股份,广博股份,蓝帆医疗"
20250526,"四创电子,圣阳股份,广博股份,美邦股份"
20250527,"四创电子,圣阳股份,广博股份,沃特股份,美邦股份"
20250528,"圣阳股份,沃特股份,美邦股份"
20250529,"中农联合,利尔化学,圣阳股份,辉隆股份,雪龙集团,黄河旋风"
20250530,"中农联合,利尔化学,圣阳股份"
20250603,"中马传动,圣阳股份"
20250604,"神开股份,莫高股份"
20250605,"昭衍新药,联合精密,速达股份"
20250606,"联合精密,诺邦股份"
20250609,"联合精密,诺邦股份"
20250610,"丹化科技,津投城开,美邦股份,联合精密"
20250611,"丹化科技,津投城开,科华数据,联合精密,通鼎互联"
20250612,津投城开
20250613,"天安新材,津投城开,润都股份"
20250616,"天安新材,津投城开,润都股份,若羽臣,融发核电"
20250617,"津投城开,若羽臣,融发核电"
20250618,先达股份
20250619,"成飞集成,英派斯"
20250620,"新炬网络,楚天龙,海联金汇,苏州龙杰"
20250623,"捷荣技术,晨丰科技,海联金汇"
20250624,海联金汇
