date,cash,holdings_value,total_value,positions_count,holdings_details
20240704,200000.0,0.0,200000.0,0,[]
20240705,200000.0,0.0,200000.0,0,[]
20240708,160355.0,40040.0,200395.0,1,"[{'code': '605228.SH', 'shares': 4400, 'close': np.float64(9.1), 'value': np.float64(40040.0), 'pnl': np.float64(395.9999999999994)}]"
20240709,161302.0,40764.0,202066.0,1,"[{'code': '605228.SH', 'shares': 4300, 'close': np.float64(9.48), 'value': np.float64(40764.0), 'pnl': np.float64(2021.0000000000027)}]"
20240710,163293.0,40836.0,204129.0,1,"[{'code': '605228.SH', 'shares': 4100, 'close': np.float64(9.96), 'value': np.float64(40836.0), 'pnl': np.float64(3895.0000000000045)}]"
20240711,163293.0,40549.0,203842.0,1,"[{'code': '605228.SH', 'shares': 4100, 'close': np.float64(9.89), 'value': np.float64(40549.0), 'pnl': np.float64(3608.000000000003)}]"
20240712,163293.0,39770.0,203063.0,1,"[{'code': '605228.SH', 'shares': 4100, 'close': np.float64(9.7), 'value': np.float64(39770.0), 'pnl': np.float64(2828.999999999998)}]"
20240715,39510.0,159335.0,198845.0,4,"[{'code': '002045.SZ', 'shares': 3000, 'close': np.float64(13.15), 'value': np.float64(39450.0), 'pnl': np.float64(-839.9999999999981)}, {'code': '600692.SH', 'shares': 7200, 'close': np.float64(5.6), 'value': np.float64(40320.0), 'pnl': np.float64(-648.0000000000053)}, {'code': '600727.SH', 'shares': 5600, 'close': np.float64(7.16), 'value': np.float64(40096.0), 'pnl': np.float64(-1063.9999999999973)}, {'code': '605277.SH', 'shares': 2900, 'close': np.float64(13.61), 'value': np.float64(39469.0), 'pnl': np.float64(-580.0000000000031)}]"
20240716,160037.0,39846.0,199883.0,1,"[{'code': '605277.SH', 'shares': 2900, 'close': np.float64(13.74), 'value': np.float64(39846.0), 'pnl': np.float64(-203.00000000000082)}]"
20240717,119022.0,76714.0,195736.0,2,"[{'code': '000700.SZ', 'shares': 6900, 'close': np.float64(5.69), 'value': np.float64(39261.0), 'pnl': np.float64(-1448.9999999999998)}, {'code': '603337.SH', 'shares': 1300, 'close': np.float64(28.81), 'value': np.float64(37453.0), 'pnl': np.float64(-416.00000000000034)}]"
20240718,120928.0,78663.0,199591.0,2,"[{'code': '603337.SH', 'shares': 1300, 'close': np.float64(29.55), 'value': np.float64(38415.0), 'pnl': np.float64(546.0000000000023)}, {'code': '002903.SZ', 'shares': 2400, 'close': np.float64(16.77), 'value': np.float64(40248.0), 'pnl': np.float64(2687.999999999998)}]"
