datetime,stock_code,stock_name,action,shares,price,amount,reason,pnl,buy_time_category,price_type,ref_price,fee
2025-08-11 09:30:00,000980.SZ,众泰汽车,BUY,7700,2.35,18095.0,,,09:30-10:00,开盘价,2.35,9.05
2025-08-11 09:31:00,603900.SH,莱绅通灵,BUY,1600,10.71,17136.0,,,09:30-10:00,预估买入价,10.7,8.57
2025-08-13 09:31:00,002072.SZ,凯瑞德,BUY,2400,7.58,18192.0,,,09:30-10:00,预估买入价,7.57,9.1
2025-08-13 09:33:00,002354.SZ,天娱数科,BUY,2300,7.77,17871.0,,,09:30-10:00,预估买入价,7.76,8.94
2025-08-13 09:50:00,002353.SZ,杰瑞股份,BUY,300,46.32,13896.0,,,09:30-10:00,预估买入价,46.27,6.95
2025-08-13 00:00:00,603900.SH,莱绅通灵,SELL,1600,10.63,17008.0,跌破五日线,-145.0700000000001,09:30-10:00,收盘价,10.64,8.5
2025-08-14 10:07:00,002328.SZ,新朋股份,BUY,2700,6.72,18144.0,,,10:00-11:30,预估买入价,6.71,9.07
2025-08-14 00:00:00,002072.SZ,凯瑞德,SELL,2400,7.27,17448.0,跌破五日线,-761.8200000000012,09:30-10:00,收盘价,7.28,8.72
2025-08-14 00:00:00,002354.SZ,天娱数科,SELL,2300,7.37,16951.0,跌破五日线,-937.4199999999988,09:30-10:00,收盘价,7.38,8.48
2025-08-14 00:00:00,002353.SZ,杰瑞股份,SELL,300,45.88,13764.0,跌破五日线,-145.8299999999993,09:30-10:00,收盘价,45.93,6.88
2025-08-15 09:30:00,000628.SZ,高新发展,BUY,300,50.93,15279.0,,,09:30-10:00,开盘价,52.21,7.64
2025-08-15 09:30:00,002364.SZ,中恒电气,BUY,900,18.79,16911.0,,,09:30-10:00,开盘价,18.96,8.46
2025-08-15 09:30:00,603186.SH,华正新材,BUY,500,35.62,17810.0,,,09:30-10:00,开盘价,36.23,8.9
2025-08-18 09:31:00,003029.SZ,吉大正元,BUY,600,28.46,17076.0,,,09:30-10:00,预估买入价,28.43,8.54
2025-08-19 09:30:00,000066.SZ,中国长城,BUY,1000,17.97,17970.0,,,09:30-10:00,开盘价,18.09,8.98
2025-08-19 10:07:00,002636.SZ,金安国纪,BUY,1400,13.26,18564.0,,,10:00-11:30,预估买入价,13.25,9.28
2025-08-19 10:19:00,600673.SH,东阳光,BUY,1100,17.07,18777.0,,,10:00-11:30,预估买入价,17.05,9.39
2025-08-19 00:00:00,000980.SZ,众泰汽车,SELL,7600,2.39,18164.0,跌破五日线,285.8700000000003,09:30-10:00,收盘价,2.39,9.08
2025-08-19 00:00:00,000628.SZ,高新发展,SELL,300,57.19,17157.0,断板止盈,1861.7799999999993,09:30-10:00,收盘价,57.25,8.58
2025-08-20 09:30:00,002342.SZ,巨力索具,BUY,2100,8.69,18249.0,,,09:30-10:00,开盘价,8.91,9.12
2025-08-20 09:31:00,000892.SZ,欢瑞世纪,BUY,3600,5.16,18576.0,,,09:30-10:00,预估买入价,5.15,9.29
2025-08-20 09:39:00,601798.SH,蓝科高新,BUY,1700,10.64,18088.0,,,09:30-10:00,预估买入价,10.63,9.04
2025-08-20 11:00:00,000628.SZ,高新发展,BUY,300,55.3,16590.0,,,10:00-11:30,预估买入价,55.24,8.3
2025-08-20 00:00:00,002364.SZ,中恒电气,SELL,800,22.45,17960.0,断板止盈,2910.56,09:30-10:00,收盘价,22.47,8.98
2025-08-20 00:00:00,603186.SH,华正新材,SELL,500,41.21,20605.0,断板止盈,2775.8000000000015,09:30-10:00,收盘价,41.25,10.3
2025-08-20 00:00:00,003029.SZ,吉大正元,SELL,600,28.49,17094.0,跌破五日线,0.9099999999985506,09:30-10:00,收盘价,28.52,8.55
2025-08-20 00:00:00,000066.SZ,中国长城,SELL,1000,17.46,17460.0,跌破五日线,-527.709999999998,09:30-10:00,收盘价,17.48,8.73
2025-08-21 09:30:00,002551.SZ,尚荣医疗,BUY,3800,4.93,18734.0,,,09:30-10:00,开盘价,5.05,9.37
2025-08-21 09:30:00,003033.SZ,征和工业,BUY,300,50.45,15135.0,,,09:30-10:00,开盘价,50.78,7.57
2025-08-21 09:30:00,603688.SH,石英股份,BUY,400,40.04,16016.0,,,09:30-10:00,开盘价,40.2,8.01
2025-08-21 09:54:00,600841.SH,动力新科,BUY,2500,7.48,18700.0,,,09:30-10:00,预估买入价,7.47,9.35
2025-08-21 09:59:00,600835.SH,上海机电,BUY,300,29.88,8964.0,,,09:30-10:00,预估买入价,29.85,5.0
2025-08-21 00:00:00,002328.SZ,新朋股份,SELL,2700,6.7,18090.0,跌破五日线,-72.10999999999885,10:00-11:30,收盘价,6.71,9.04
2025-08-21 00:00:00,002636.SZ,金安国纪,SELL,1400,13.15,18410.0,跌破五日线,-172.4799999999992,10:00-11:30,收盘价,13.16,9.2
2025-08-21 00:00:00,000892.SZ,欢瑞世纪,SELL,3600,5.08,18288.0,跌破五日线,-306.43000000000023,09:30-10:00,收盘价,5.09,9.14
2025-08-22 09:30:00,000796.SZ,凯撒旅业,BUY,3400,5.39,18326.0,,,09:30-10:00,开盘价,5.42,9.16
2025-08-22 09:30:00,002708.SZ,光洋股份,BUY,1400,12.9,18060.0,,,09:30-10:00,开盘价,12.9,9.03
2025-08-22 09:30:00,600480.SH,凌云股份,BUY,700,14.11,9877.0,,,09:30-10:00,开盘价,14.56,5.0
2025-08-22 00:00:00,002342.SZ,巨力索具,SELL,2100,8.67,18207.0,跌破五日线,-60.219999999999104,09:30-10:00,收盘价,8.68,9.1
2025-08-22 00:00:00,002551.SZ,尚荣医疗,SELL,4000,4.63,18520.0,跌破五日线,-1218.6299999999992,09:30-10:00,收盘价,4.63,9.26
2025-08-22 00:00:00,003033.SZ,征和工业,SELL,300,47.89,14367.0,跌破五日线,-782.7500000000007,09:30-10:00,收盘价,47.94,7.18
2025-08-22 00:00:00,600841.SH,动力新科,SELL,2500,7.37,18425.0,跌破五日线,-293.5600000000008,09:30-10:00,收盘价,7.38,9.21
2025-08-25 09:30:00,600805.SH,悦达投资,BUY,3100,5.98,18538.0,,,09:30-10:00,开盘价,6.07,9.27
2025-08-25 00:00:00,600673.SH,东阳光,SELL,1000,20.21,20210.0,炸板卖出,3120.5100000000007,10:00-11:30,收盘价,20.23,10.1
2025-08-25 00:00:00,601798.SH,蓝科高新,SELL,1700,10.35,17595.0,跌破五日线,-510.8400000000016,09:30-10:00,收盘价,10.36,8.8
2025-08-25 00:00:00,000628.SZ,高新发展,SELL,300,60.23,18069.0,断板止盈,1461.67,10:00-11:30,收盘价,60.29,9.03
2025-08-25 00:00:00,600835.SH,上海机电,SELL,600,29.58,17748.0,跌破五日线,-193.87000000000043,09:30-10:00,收盘价,29.61,8.87
2025-08-25 00:00:00,000796.SZ,凯撒旅业,SELL,3500,5.25,18375.0,跌破五日线,-508.3499999999989,09:30-10:00,收盘价,5.26,9.19
2025-08-25 00:00:00,600480.SH,凌云股份,SELL,1300,14.26,18538.0,跌破五日线,180.73000000000044,09:30-10:00,收盘价,14.27,9.27
2025-08-26 09:31:00,600104.SH,上汽集团,BUY,900,20.36,18324.0,,,09:30-10:00,预估买入价,20.34,9.16
2025-08-26 09:44:00,603031.SH,安孚科技,BUY,400,38.85,15540.0,,,09:30-10:00,预估买入价,38.81,7.77
2025-08-26 00:00:00,603688.SH,石英股份,SELL,400,40.43,16172.0,跌破五日线,139.90000000000023,09:30-10:00,收盘价,40.47,8.09
2025-08-26 00:00:00,600805.SH,悦达投资,SELL,3200,5.85,18720.0,跌破五日线,-434.6300000000025,09:30-10:00,收盘价,5.86,9.36
2025-08-27 00:00:00,002708.SZ,光洋股份,SELL,1400,12.55,17570.0,跌破五日线,-507.80999999999943,09:30-10:00,收盘价,12.56,8.78
2025-08-27 00:00:00,600104.SH,上汽集团,SELL,900,18.89,17001.0,跌破五日线,-1340.6599999999992,09:30-10:00,收盘价,18.91,8.5
2025-08-27 00:00:00,603031.SH,安孚科技,SELL,500,37.55,18775.0,跌破五日线,-667.1600000000021,09:30-10:00,收盘价,37.59,9.39
2025-08-28 09:30:00,000818.SZ,航锦科技,BUY,600,26.75,16050.0,,,09:30-10:00,开盘价,27.03,8.03
