datetime,stock_code,stock_name,action,shares,price,amount,reason,pnl,buy_time_category,price_type,ref_price,fee
2025-05-06 09:30:00,001298.SZ,好上好,BUY,1400,27.63,38682.0,,,09:30-10:00,开盘价,27.73,19.34
2025-05-06 09:30:00,600771.SH,广誉远,BUY,2000,19.2,38400.0,,,09:30-10:00,开盘价,19.18,19.2
2025-05-06 09:31:00,603983.SH,丸美生物,BUY,900,44.27,39843.0,,,09:30-10:00,预估买入价,44.23,19.92
2025-05-06 09:54:00,605016.SH,百龙创园,BUY,1900,20.76,39444.0,,,09:30-10:00,预估买入价,20.74,19.72
2025-05-07 09:55:00,601595.SH,上海电影,BUY,1200,32.18,38616.0,,,09:30-10:00,预估买入价,32.15,19.31
2025-05-07 00:00:00,605016.SH,百龙创园,SELL,1900,23.59,44821.0,炸板卖出,5334.869999999996,09:30-10:00,收盘价,23.61,22.41
2025-05-08 09:30:00,002382.SZ,蓝帆医疗,BUY,8100,5.11,41391.0,,,09:30-10:00,开盘价,5.12,20.7
2025-05-08 09:30:00,603255.SH,鼎际得,BUY,200,24.67,4934.0,,,09:30-10:00,开盘价,24.73,5.0
2025-05-08 09:31:00,002852.SZ,道道全,BUY,100,9.87,986.9999999999999,,,09:30-10:00,预估买入价,9.86,5.0
2025-05-08 09:59:00,600503.SH,华丽家族,BUY,100,2.72,272.0,,,09:30-10:00,预估买入价,2.72,5.0
2025-05-09 00:00:00,001298.SZ,好上好,SELL,1400,27.39,38346.0,跌破五日线,-374.50999999999783,09:30-10:00,收盘价,27.42,19.17
2025-05-09 00:00:00,601595.SH,上海电影,SELL,1200,31.35,37620.0,跌破五日线,-1034.1199999999978,09:30-10:00,收盘价,31.38,18.81
2025-05-09 00:00:00,002852.SZ,道道全,SELL,100,9.67,967.0,跌破五日线,-29.99999999999993,09:30-10:00,收盘价,9.68,5.0
2025-05-09 00:00:00,600503.SH,华丽家族,SELL,100,2.7,270.0,跌破五日线,-12.000000000000002,09:30-10:00,收盘价,2.7,5.0
2025-05-12 09:30:00,002255.SZ,海陆重工,BUY,4400,9.35,41140.0,,,09:30-10:00,开盘价,9.42,20.57
2025-05-12 09:30:00,603169.SH,兰石重装,BUY,200,7.26,1452.0,,,09:30-10:00,开盘价,7.41,5.0
2025-05-12 09:32:00,600800.SH,渤海化学,BUY,100,3.61,361.0,,,09:30-10:00,预估买入价,3.61,5.0
2025-05-15 00:00:00,603169.SH,兰石重装,SELL,200,7.9,1580.0,炸板卖出,118.00000000000011,09:30-10:00,收盘价,7.91,5.0
2025-05-15 00:00:00,600800.SH,渤海化学,SELL,100,3.6,360.0,断板止盈,-10.999999999999979,09:30-10:00,收盘价,3.6,5.0
2025-05-16 00:00:00,603983.SH,丸美生物,SELL,900,51.83,46647.0,断板止盈,6760.759999999996,09:30-10:00,收盘价,51.88,23.32
2025-05-16 00:00:00,603255.SH,鼎际得,SELL,1600,25.28,40448.0,跌破五日线,950.7799999999991,09:30-10:00,收盘价,25.31,20.22
2025-05-19 09:31:00,000639.SZ,西王食品,BUY,14000,3.1,43400.0,,,09:30-10:00,预估买入价,3.1,21.7
2025-05-19 09:32:00,000958.SZ,电投产融,BUY,5900,7.34,43306.0,,,09:30-10:00,预估买入价,7.33,21.65
2025-05-19 09:45:00,002489.SZ,浙江永强,BUY,200,4.01,802.0,,,09:30-10:00,预估买入价,4.01,5.0
2025-05-19 00:00:00,600771.SH,广誉远,SELL,2100,20.77,43617.0,跌破五日线,3255.9900000000007,09:30-10:00,收盘价,20.79,21.81
2025-05-21 00:00:00,002255.SZ,海陆重工,SELL,4600,9.27,42642.0,跌破五日线,-409.8900000000003,09:30-10:00,收盘价,9.28,21.32
2025-05-21 00:00:00,000639.SZ,西王食品,SELL,13400,3.2,42880.0,跌破五日线,1296.860000000001,09:30-10:00,收盘价,3.2,21.44
2025-05-21 00:00:00,002489.SZ,浙江永强,SELL,11000,3.93,43230.0,跌破五日线,-906.6199999999959,09:30-10:00,收盘价,3.93,21.62
2025-05-22 09:31:00,002103.SZ,广博股份,BUY,4300,10.07,43301.0,,,09:30-10:00,预估买入价,10.06,21.65
2025-05-22 10:16:00,600505.SH,西昌电力,BUY,2600,16.49,42873.99999999999,,,10:00-11:30,预估买入价,16.47,21.44
2025-05-22 13:46:00,002570.SZ,贝因美,BUY,6700,6.52,43684.0,,,13:00-14:50,预估买入价,6.51,21.84
2025-05-22 00:00:00,000958.SZ,电投产融,SELL,5900,7.26,42834.0,跌破五日线,-515.0700000000004,09:30-10:00,收盘价,7.27,21.42
2025-05-23 09:31:00,002580.SZ,圣阳股份,BUY,3300,13.23,43659.0,,,09:30-10:00,预估买入价,13.22,21.83
2025-05-23 00:00:00,600505.SH,西昌电力,SELL,2600,15.8,41080.0,跌破五日线,-1835.979999999994,10:00-11:30,收盘价,15.82,20.54
2025-05-23 00:00:00,002570.SZ,贝因美,SELL,6800,6.34,43112.0,跌破五日线,-1267.399999999998,13:00-14:50,收盘价,6.35,21.56
2025-05-26 09:30:00,605033.SH,美邦股份,BUY,2300,18.62,42826.0,,,09:30-10:00,开盘价,18.82,21.41
2025-05-26 09:33:00,600990.SH,四创电子,BUY,1900,22.55,42845.0,,,09:30-10:00,预估买入价,22.53,21.42
2025-05-26 00:00:00,002382.SZ,蓝帆医疗,SELL,8000,5.34,42720.0,跌破五日线,1797.9399999999964,09:30-10:00,收盘价,5.35,21.36
2025-05-27 09:36:00,002886.SZ,沃特股份,BUY,2100,19.96,41916.0,,,09:30-10:00,预估买入价,19.94,20.96
2025-05-28 00:00:00,002103.SZ,广博股份,SELL,3800,12.37,47006.0,断板止盈,8694.849999999997,09:30-10:00,收盘价,12.38,23.5
2025-05-28 00:00:00,600990.SH,四创电子,SELL,1800,26.42,47556.0,断板止盈,6920.800000000002,09:30-10:00,收盘价,26.45,23.78
2025-05-29 09:30:00,002556.SZ,辉隆股份,BUY,8600,5.58,47988.0,,,09:30-10:00,开盘价,5.81,23.99
2025-05-29 09:30:00,003042.SZ,中农联合,BUY,2800,17.02,47656.0,,,09:30-10:00,开盘价,17.11,23.83
2025-05-29 09:30:00,603949.SH,雪龙集团,BUY,100,23.21,2321.0,,,09:30-10:00,开盘价,23.52,5.0
2025-05-29 09:31:00,002258.SZ,利尔化学,BUY,100,11.46,1146.0,,,09:30-10:00,预估买入价,11.45,5.0
