date,cash,holdings_value,total_value,positions_count,holdings_details
20220601,200000.0,0.0,200000.0,0,[]
20220602,200000.0,0.0,200000.0,0,[]
20220606,200000.0,0.0,200000.0,0,[]
20220607,200000.0,0.0,200000.0,0,[]
20220608,200000.0,0.0,200000.0,0,[]
20220609,200000.0,0.0,200000.0,0,[]
20220610,200000.0,0.0,200000.0,0,[]
20220613,200000.0,0.0,200000.0,0,[]
20220614,200000.0,0.0,200000.0,0,[]
20220615,200000.0,0.0,200000.0,0,[]
20220616,200000.0,0.0,200000.0,0,[]
20220617,200000.0,0.0,200000.0,0,[]
20220620,200000.0,0.0,200000.0,0,[]
20220621,200000.0,0.0,200000.0,0,[]
20220622,200000.0,0.0,200000.0,0,[]
20220623,200000.0,0.0,200000.0,0,[]
20220624,200000.0,0.0,200000.0,0,[]
20220627,200000.0,0.0,200000.0,0,[]
20220628,200000.0,0.0,200000.0,0,[]
20220629,200000.0,0.0,200000.0,0,[]
20220630,200000.0,0.0,200000.0,0,[]
20220701,200000.0,0.0,200000.0,0,[]
20220704,200000.0,0.0,200000.0,0,[]
20220705,200000.0,0.0,200000.0,0,[]
20220706,200000.0,0.0,200000.0,0,[]
20220707,200000.0,0.0,200000.0,0,[]
20220708,200000.0,0.0,200000.0,0,[]
20220711,200000.0,0.0,200000.0,0,[]
20220712,200000.0,0.0,200000.0,0,[]
20220713,200000.0,0.0,200000.0,0,[]
20220714,200000.0,0.0,200000.0,0,[]
20220715,200000.0,0.0,200000.0,0,[]
20220718,200000.0,0.0,200000.0,0,[]
20220719,200000.0,0.0,200000.0,0,[]
20220720,200000.0,0.0,200000.0,0,[]
20220721,200000.0,0.0,200000.0,0,[]
20220722,200000.0,0.0,200000.0,0,[]
20220725,200000.0,0.0,200000.0,0,[]
20220726,200000.0,0.0,200000.0,0,[]
20220727,200000.0,0.0,200000.0,0,[]
20220728,200000.0,0.0,200000.0,0,[]
20220729,200000.0,0.0,200000.0,0,[]
20220801,200000.0,0.0,200000.0,0,[]
20220802,200000.0,0.0,200000.0,0,[]
20220803,200000.0,0.0,200000.0,0,[]
20220804,200000.0,0.0,200000.0,0,[]
20220805,200000.0,0.0,200000.0,0,[]
20220808,200000.0,0.0,200000.0,0,[]
20220809,200000.0,0.0,200000.0,0,[]
20220810,200000.0,0.0,200000.0,0,[]
20220811,200000.0,0.0,200000.0,0,[]
20220812,200000.0,0.0,200000.0,0,[]
20220815,200000.0,0.0,200000.0,0,[]
20220816,200000.0,0.0,200000.0,0,[]
20220817,200000.0,0.0,200000.0,0,[]
20220818,200000.0,0.0,200000.0,0,[]
20220819,200000.0,0.0,200000.0,0,[]
20220822,200000.0,0.0,200000.0,0,[]
20220823,200000.0,0.0,200000.0,0,[]
20220824,200000.0,0.0,200000.0,0,[]
20220825,200000.0,0.0,200000.0,0,[]
20220826,200000.0,0.0,200000.0,0,[]
20220829,200000.0,0.0,200000.0,0,[]
20220830,200000.0,0.0,200000.0,0,[]
20220831,200000.0,0.0,200000.0,0,[]
20220901,200000.0,0.0,200000.0,0,[]
20220902,200000.0,0.0,200000.0,0,[]
20220905,200000.0,0.0,200000.0,0,[]
20220906,200000.0,0.0,200000.0,0,[]
20220907,200000.0,0.0,200000.0,0,[]
20220908,200000.0,0.0,200000.0,0,[]
20220909,200000.0,0.0,200000.0,0,[]
20220913,200000.0,0.0,200000.0,0,[]
20220914,200000.0,0.0,200000.0,0,[]
20220915,200000.0,0.0,200000.0,0,[]
20220916,200000.0,0.0,200000.0,0,[]
20220919,200000.0,0.0,200000.0,0,[]
20220920,200000.0,0.0,200000.0,0,[]
20220921,200000.0,0.0,200000.0,0,[]
20220922,200000.0,0.0,200000.0,0,[]
20220923,200000.0,0.0,200000.0,0,[]
20220926,200000.0,0.0,200000.0,0,[]
20220927,200000.0,0.0,200000.0,0,[]
20220928,200000.0,0.0,200000.0,0,[]
20220929,200000.0,0.0,200000.0,0,[]
20220930,200000.0,0.0,200000.0,0,[]
20221010,200000.0,0.0,200000.0,0,[]
20221011,200000.0,0.0,200000.0,0,[]
20221012,200000.0,0.0,200000.0,0,[]
20221013,200000.0,0.0,200000.0,0,[]
20221014,200000.0,0.0,200000.0,0,[]
20221017,200000.0,0.0,200000.0,0,[]
20221018,200000.0,0.0,200000.0,0,[]
20221019,200000.0,0.0,200000.0,0,[]
20221020,200000.0,0.0,200000.0,0,[]
20221021,200000.0,0.0,200000.0,0,[]
20221024,200000.0,0.0,200000.0,0,[]
20221025,200000.0,0.0,200000.0,0,[]
20221026,200000.0,0.0,200000.0,0,[]
20221027,200000.0,0.0,200000.0,0,[]
