stock_code,stock_name,股票代码,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,市盈率-动态,市净率,总市值,流通市值
bj430017,星昊医药,430017.0,0.64,468292733.23,-9.908516468,-12.0939,78770148.31,8.22,-48.2985,5.22,0.81803875631,69.3826817339,化学制药,2024-10-28,17.13,1.47,2284343576.0,2261479256.0
bj430047,诺思兰德,430047.0,-0.13,54450785.7,13.8725896612,-6.9297,-34594913.61,28.8881253772,44.2086,-10.35,-0.141897034766,55.7096721012,生物制品,2024-10-25,-71.21,12.94,4289613673.0,2816864518.0
bj430090,同辉信息,430090.0,-0.15,182024333.62,26.332556701,-57.3862,-28945070.39,11.93,-98.8296,-17.79,-0.144813537456,3.5016982967,软件开发,2024-10-29,-13.34,11.6,1243841327.0,1070147851.0
bj430139,华岭股份,430139.0,-0.06,190477499.61,-17.6788818825,-7.5835,-15184265.76,-124.51,-53.6774,-1.37,0.288321675867,25.4030189808,半导体,2024-10-30,-484.76,6.6,7263224214.0,7024030918.0
bj430198,微创光电,430198.0,-0.35,57413138.53,28.0096968914,-1.8842,-55757469.11,-46.56,-3.8701,-13.58,-0.357355427986,37.1664352034,计算机设备,2024-10-28,375.82,4.66,2060616645.0,897020707.0
bj430300,辰光医疗,430300.0,-0.18,86106323.16,-13.4414956373,-20.2344,-15875336.84,-129.77,-116.9695,-5.65,-0.52256600483,41.2717153698,医疗器械,2024-10-30,-21.2,7.1,1639680107.0,1270754630.0
bj430418,苏轴股份,430418.0,0.87,546828652.01,17.4497746726,-1.6158,117598369.43,35.04,5.6669,15.69,0.830448376019,38.5377005311,通用设备,2024-10-29,34.31,6.32,5168523360.0,4961982589.0
bj430425,乐创技术,430425.0,0.28,58909954.88,-2.5777438539,-13.3729,14011956.92,-36.55,88.9922,5.7,0.364073048031,62.0266117576,软件开发,2024-10-29,59.14,5.42,1327020141.0,1107711628.0
bj430476,海能技术,430476.0,-0.06,183944622.6,-10.501091856,36.9889,-4677751.65,-128.01,1025.5267,-0.96,-0.186642332803,63.3935918331,仪器仪表,2024-10-30,75.08,2.85,1353276800.0,1004027248.0
bj430478,峆一药业,430478.0,0.67,196755675.33,18.2017492941,-11.9304,37401751.95,-6.98,-50.349,8.0,0.565109059151,38.3869485611,化学制药,2024-10-28,19.57,2.68,1295320320.0,776877051.0
bj430489,佳先股份,430489.0,0.14,459315259.09,17.797065225,12.0074,19682971.37,-34.68,-81.7949,3.83,-0.27864728842,12.5467692265,化学制品,2024-10-30,205.37,6.87,3421032144.0,2148342287.0
bj430510,丰光精密,430510.0,0.12,183015479.06,29.4378615176,2.3537,21970450.72,35.68,-2.9301,5.17,0.242906660766,36.7889590246,通用设备,2024-10-29,189.32,9.96,3986389424.0,2053789168.0
bj430556,雅达股份,430556.0,0.11,222415000.18,-4.7660871706,-6.6462,18368761.13,-36.07,-31.4532,3.49,-0.007637811192,33.5627707932,仪器仪表,2024-10-25,46.98,3.19,1651867648.0,1210019215.0
bj430564,天润科技,430564.0,-0.2,64625485.88,-17.9379866588,-43.0753,-14961257.6,-80.36,-90.357,-4.81,-0.372241850282,28.6437310729,软件开发,2024-10-29,214.44,5.34,1719176426.0,780712581.0
bj430685,新芝生物,430685.0,0.24,108698472.95,-17.2028510925,6.022,21653091.07,-42.17,-15.1389,4.08,0.254085627771,62.4015002963,仪器仪表,2024-10-29,24.99,2.59,1399278738.0,837755613.0
bj430718,合肥高科,430718.0,0.53,814190099.55,6.8704591312,7.6165,48487830.97,5.09,-28.4691,9.27,0.397532898297,11.9485544462,电子元件,2024-10-30,15.93,2.87,1611147259.0,759566549.0
