日期,目标股票,第四天股票,排除股票
2025-11-23 23:22,"002235.SZ,600191.SH,600343.SH,600635.SH,600826.SH",无,无
2025-11-23 23:25,"002235.SZ,600191.SH,600343.SH,600635.SH,600826.SH",无,无
2025-11-24 00:30,"002235.SZ,600191.SH,600343.SH,600635.SH,600826.SH",无,无
2025-11-24 00:35,"002235.SZ,600191.SH,600343.SH,600635.SH,600826.SH",无,无
2025-11-24 09:15,"002235.SZ,600191.SH,600343.SH,600826.SH",无,无
2025-11-25 00:45,,无,002084.SZ
2025-11-25 00:54,,无,002084.SZ
2025-11-25 17:45,"002046.SZ,002093.SZ,002235.SZ,002319.SZ,002356.SZ,002795.SZ,002977.SZ,600855.SH,601360.SH,603730.SH,603881.SH",002235.SZ,"002900.SZ,600826.SH"
2025-11-26 09:00,"002046.SZ,002093.SZ,002235.SZ,002319.SZ,002356.SZ,002795.SZ,002977.SZ,600855.SH,601360.SH,603730.SH,603881.SH",002235.SZ,"002900.SZ,600826.SH"
2025-11-26 09:17,"002046.SZ,002093.SZ,002235.SZ,002319.SZ,002356.SZ,002795.SZ,002977.SZ,600855.SH,601360.SH,603730.SH,603881.SH",002235.SZ,"002900.SZ,600826.SH"
2025-11-27 00:37,"000620.SZ,000701.SZ,000756.SZ,002080.SZ,002222.SZ,002558.SZ,002575.SZ,002659.SZ,002728.SZ,002759.SZ,002931.SZ,002975.SZ",无,"002463.SZ,002729.SZ,603130.SH,603256.SH"
2025-11-27 09:17,"000620.SZ,000701.SZ,000756.SZ,002080.SZ,002222.SZ,002558.SZ,002575.SZ,002659.SZ,002728.SZ,002759.SZ,002931.SZ,002975.SZ",无,"002463.SZ,002729.SZ,603130.SH,603256.SH"
2025-11-27 21:53,"002093.SZ,002319.SZ,002795.SZ,002900.SZ,600103.SH,600618.SH,600645.SH,603068.SH","002093.SZ,002319.SZ,002795.SZ,002900.SZ,600645.SH",002249.SZ
2025-11-28 09:17,"002093.SZ,002319.SZ,002795.SZ,002900.SZ,600103.SH,600618.SH,600645.SH,603068.SH","002093.SZ,002319.SZ,002795.SZ,002900.SZ,600645.SH",002249.SZ
2025-11-29 09:16,"000756.SZ,002222.SZ,002548.SZ,002558.SZ,002931.SZ,002970.SZ,600203.SH,603130.SH,603626.SH,605399.SH","000756.SZ,002222.SZ,002558.SZ,002931.SZ,002970.SZ,603130.SH",002825.SZ
2025-11-30 09:16,"000756.SZ,002222.SZ,002548.SZ,002558.SZ,002931.SZ,002970.SZ,600203.SH,603130.SH,603626.SH,605399.SH","000756.SZ,002222.SZ,002558.SZ,002931.SZ,002970.SZ,603130.SH",002825.SZ
2025-11-30 21:43,"000756.SZ,002222.SZ,002548.SZ,002558.SZ,002931.SZ,002970.SZ,600203.SH,603130.SH,603626.SH,605399.SH","000756.SZ,002222.SZ,002558.SZ,002931.SZ,002970.SZ,603130.SH",002825.SZ
2025-12-01 09:18,"000756.SZ,002222.SZ,002548.SZ,002558.SZ,002931.SZ,002970.SZ,600203.SH,603130.SH,603626.SH,605399.SH","000756.SZ,002222.SZ,002558.SZ,002931.SZ,002970.SZ,603130.SH",002825.SZ
2025-12-01 16:24,"000753.SZ,002090.SZ,002150.SZ,002277.SZ,002544.SZ,600151.SH,600319.SH,600815.SH,603758.SH,603815.SH,605133.SH,605303.SH",无,"000545.SZ,002249.SZ,603878.SH"
2025-12-02 09:01,"000753.SZ,002090.SZ,002150.SZ,002277.SZ,002544.SZ,600151.SH,600319.SH,600815.SH,603758.SH,603815.SH,605133.SH,605303.SH",无,"000545.SZ,002249.SZ,603878.SH"
2025-12-02 09:16,"000753.SZ,002090.SZ,002150.SZ,002277.SZ,002544.SZ,600151.SH,600319.SH,600815.SH,603758.SH,603815.SH,605133.SH,605303.SH",无,"000545.SZ,002249.SZ,603878.SH"
2025-12-02 15:51,"000036.SZ,000829.SZ,000888.SZ,002108.SZ,002548.SZ,002651.SZ,002769.SZ,002981.SZ","002548.SZ,002769.SZ","002356.SZ,600284.SH"
2025-12-03 09:16,"000036.SZ,000829.SZ,000888.SZ,002108.SZ,002548.SZ,002651.SZ,002769.SZ,002981.SZ","002548.SZ,002769.SZ","002356.SZ,600284.SH"
2025-12-03 09:18,"000036.SZ,000829.SZ,000888.SZ,002108.SZ,002548.SZ,002651.SZ,002769.SZ,002981.SZ","002548.SZ,002769.SZ","002356.SZ,600284.SH"
2025-12-03 16:30,"000812.SZ,002090.SZ,600033.SH,600939.SH,603163.SH,603758.SH,603815.SH","002090.SZ,600939.SH,603758.SH,603815.SH",无
2025-12-04 09:06,"000812.SZ,002090.SZ,600033.SH,600939.SH,603163.SH,603758.SH,603815.SH","002090.SZ,600939.SH,603758.SH,603815.SH",无
2025-12-04 09:19,"000812.SZ,002090.SZ,600033.SH,600939.SH,603163.SH,603758.SH,603815.SH","002090.SZ,600939.SH,603758.SH,603815.SH",无
2025-12-06 09:16,"002487.SZ,002566.SZ,002631.SZ,002671.SZ,002836.SZ,002881.SZ,003016.SZ,600255.SH,600467.SH",002881.SZ,无
2025-12-07 08:51,"002487.SZ,002566.SZ,002631.SZ,002671.SZ,002836.SZ,002881.SZ,003016.SZ,600255.SH,600467.SH",002881.SZ,无
2025-12-08 08:48,"002031.SZ,002347.SZ,600118.SH,600255.SH,600509.SH",无,无
2025-12-08 09:16,"002031.SZ,002347.SZ,600118.SH,600255.SH,600509.SH",无,无
2025-12-08 09:20,"002031.SZ,002347.SZ,600118.SH,600255.SH,600509.SH",无,无
2025-12-08 15:10,"002031.SZ,002347.SZ,600118.SH,600255.SH,600509.SH",无,无
2025-12-08 16:49,"002093.SZ,002487.SZ,002660.SZ,002836.SZ,002885.SZ,002913.SZ,600218.SH,600227.SH,600302.SH,600366.SH,603177.SH,603886.SH,605598.SH","002487.SZ,002836.SZ,002913.SZ",603015.SH
2025-12-09 09:30,"002093.SZ,002487.SZ,002660.SZ,002836.SZ,002885.SZ,002913.SZ,600218.SH,600227.SH,600302.SH,600366.SH,603177.SH,603886.SH,605598.SH","002487.SZ,002836.SZ,002913.SZ",603015.SH
2025-12-10 09:16,"002222.SZ,002506.SZ,600118.SH,600255.SH,600509.SH,603042.SH,603228.SH,603686.SH,605136.SH,605168.SH","600118.SH,600255.SH,600509.SH",002163.SZ
2025-12-10 16:30,"002222.SZ,002506.SZ,600118.SH,600255.SH,600509.SH,603042.SH,603228.SH,603686.SH,605136.SH,605168.SH","600118.SH,600255.SH,600509.SH",002163.SZ
2025-12-10 16:32,"002222.SZ,002506.SZ,600118.SH,600255.SH,600509.SH,603042.SH,603228.SH,603686.SH,605136.SH,605168.SH","600118.SH,600255.SH,600509.SH",002163.SZ
2025-12-10 16:59,"000953.SZ,002346.SZ,600218.SH",600218.SH,无
2025-12-11 09:17,"000953.SZ,002346.SZ,600218.SH",600218.SH,无
2025-12-11 09:20,"000953.SZ,002346.SZ,600218.SH",600218.SH,无
2025-12-11 15:17,"000953.SZ,002346.SZ,600218.SH",600218.SH,无
2025-12-11 17:58,"000735.SZ,002164.SZ,002222.SZ,002506.SZ,002607.SZ,603680.SH,603686.SH","002164.SZ,002222.SZ,002506.SZ,603680.SH,603686.SH",000505.SZ
2025-12-12 09:16,"000735.SZ,002164.SZ,002222.SZ,002506.SZ,002607.SZ,603680.SH,603686.SH","002164.SZ,002222.SZ,002506.SZ,603680.SH,603686.SH",000505.SZ
2025-12-12 17:21,"002123.SZ,002346.SZ",002346.SZ,无
2025-12-13 09:16,"002123.SZ,002346.SZ",002346.SZ,无
2025-12-14 08:51,"002123.SZ,002346.SZ",002346.SZ,无
2025-12-15 09:31,"002123.SZ,002346.SZ",002346.SZ,无
2025-12-15 17:10,"000533.SZ,000936.SZ,000969.SZ,002451.SZ,002584.SZ,002865.SZ,002989.SZ,601179.SH",000936.SZ,"600237.SH,600550.SH"
2025-12-16 09:16,"000533.SZ,000936.SZ,000969.SZ,002451.SZ,002584.SZ,002865.SZ,002989.SZ,601179.SH",000936.SZ,"600237.SH,600550.SH"
2025-12-16 21:12,"000825.SZ,605339.SH,605388.SH",无,无
2025-12-17 09:18,"000825.SZ,605339.SH,605388.SH",无,无
2025-12-17 16:30,"002584.SZ,603212.SH,603708.SH,603863.SH",002584.SZ,无
2025-12-18 09:17,"002584.SZ,603212.SH,603708.SH,603863.SH",002584.SZ,无
2025-12-18 17:11,"002198.SZ,002491.SZ,601778.SH,605388.SH","601778.SH,605388.SH",603124.SH
2025-12-19 09:17,"002198.SZ,002491.SZ,601778.SH,605388.SH","601778.SH,605388.SH",603124.SH
2025-12-19 17:00,"000797.SZ,002614.SZ,002772.SZ,002985.SZ,600824.SH,603212.SH,603716.SH,603777.SH",603212.SH,"002522.SZ,603022.SH"
2025-12-20 09:16,"000797.SZ,002614.SZ,002772.SZ,002985.SZ,600824.SH,603212.SH,603716.SH,603777.SH",603212.SH,"002522.SZ,603022.SH"
2025-12-21 09:16,"000797.SZ,002614.SZ,002772.SZ,002985.SZ,600824.SH,603212.SH,603716.SH,603777.SH",603212.SH,"002522.SZ,603022.SH"
2025-12-22 09:16,"000797.SZ,002614.SZ,002772.SZ,002985.SZ,600824.SH,603212.SH,603716.SH,603777.SH",603212.SH,"002522.SZ,603022.SH"
2025-12-22 18:00,"000510.SZ,000639.SZ,000826.SZ,002133.SZ,002198.SZ,002501.SZ,002677.SZ,600108.SH,600620.SH,600725.SH,600990.SH,603031.SH","002198.SZ,600725.SH","603124.SH,603817.SH"
2025-12-23 09:20,"000510.SZ,000639.SZ,000826.SZ,002133.SZ,002198.SZ,002501.SZ,002677.SZ,600108.SH,600620.SH,600725.SH,600990.SH,603031.SH","002198.SZ,600725.SH","603124.SH,603817.SH"
2025-12-23 17:14,"000505.SZ,000886.SZ,000955.SZ,002414.SZ,002518.SZ,002522.SZ,002772.SZ,600515.SH,603618.SH,605358.SH","002522.SZ,002772.SZ","000796.SZ,002320.SZ"
2025-12-24 09:16,"000505.SZ,000886.SZ,000955.SZ,002414.SZ,002518.SZ,002522.SZ,002772.SZ,600515.SH,603618.SH,605358.SH","002522.SZ,002772.SZ","000796.SZ,002320.SZ"
2025-12-24 09:18,"000505.SZ,000886.SZ,000955.SZ,002414.SZ,002518.SZ,002522.SZ,002772.SZ,600515.SH,603618.SH,605358.SH","002522.SZ,002772.SZ","000796.SZ,002320.SZ"
2025-12-25 09:19,"002631.SZ,600076.SH,600367.SH,600391.SH,603031.SH,603256.SH,603800.SH,603817.SH,603938.SH","600076.SH,600367.SH,600391.SH,603031.SH,603800.SH,603817.SH",无
2025-12-26 09:26,"001316.SZ,002134.SZ,002414.SZ,002471.SZ,002518.SZ,002829.SZ,003016.SZ,600103.SH,600761.SH,600775.SH,605090.SH","002414.SZ,002518.SZ",无
2025-12-29 09:26,"002196.SZ,002356.SZ,002870.SZ,603095.SH,603256.SH,603305.SH,603938.SH","603256.SH,603938.SH","000593.SZ,002631.SZ,600966.SH"
2025-12-29 16:50,"000863.SZ,002420.SZ,002429.SZ,600775.SH,603626.SH","002429.SZ,600775.SH",无
2025-12-30 09:24,"000863.SZ,002420.SZ,002429.SZ,600775.SH,603626.SH","002429.SZ,600775.SH",无
2025-12-31 09:10,"001229.SZ,002870.SZ,603095.SH,603305.SH,605168.SH","002870.SZ,603095.SH,603305.SH",无
2026-01-01 09:16,"000863.SZ,000981.SZ",000863.SZ,"600708.SH,603798.SH"
2026-01-02 09:16,"000863.SZ,000981.SZ",000863.SZ,"600708.SH,603798.SH"
2026-01-03 09:16,"000863.SZ,000981.SZ",000863.SZ,"600708.SH,603798.SH"
2026-01-05 09:16,"000863.SZ,000981.SZ",000863.SZ,"600708.SH,603798.SH"
2026-01-06 09:29,"000026.SZ,000672.SZ,002908.SZ,600363.SH,600626.SH,603344.SH,603967.SH,605168.SH",605168.SH,无
2026-01-06 15:24,"000026.SZ,000672.SZ,002908.SZ,600363.SH,600626.SH,603344.SH,603967.SH,605168.SH",605168.SH,无
2026-01-06 21:17,"000859.SZ,002083.SZ,002254.SZ,002414.SZ,002773.SZ,600491.SH,600556.SH,600826.SH,600880.SH,601089.SH,601133.SH,603341.SH",无,"002317.SZ,002819.SZ,603067.SH"
2026-01-07 09:16,"000859.SZ,002083.SZ,002254.SZ,002414.SZ,002773.SZ,600491.SH,600556.SH,600826.SH,600880.SH,601089.SH,601133.SH,603341.SH",无,"002317.SZ,002819.SZ,603067.SH"
2026-01-08 09:16,"000026.SZ,000949.SZ,002036.SZ,002160.SZ,002795.SZ,002865.SZ,002882.SZ,600363.SH,600618.SH,601068.SH","000026.SZ,600363.SH",001223.SZ
2026-01-08 17:50,"000426.SZ,000905.SZ,002254.SZ,002277.SZ,002317.SZ,002488.SZ,600403.SH,601015.SH,601089.SH,603341.SH","000426.SZ,002254.SZ,002317.SZ,002488.SZ,601089.SH,603341.SH",无
2026-01-09 09:16,"000426.SZ,000905.SZ,002254.SZ,002277.SZ,002317.SZ,002488.SZ,600403.SH,601015.SH,601089.SH,603341.SH","000426.SZ,002254.SZ,002317.SZ,002488.SZ,601089.SH,603341.SH",无
2026-01-10 09:16,"000159.SZ,000628.SZ,000901.SZ,002977.SZ,601615.SH,603012.SH,603416.SH,603878.SH,603950.SH,605028.SH","601615.SH,603012.SH",605116.SH
2026-01-11 21:54,"000159.SZ,000628.SZ,000901.SZ,002977.SZ,601615.SH,603012.SH,603416.SH,603878.SH,603950.SH,605028.SH","601615.SH,603012.SH",605116.SH
