2025-12-08 16:58:04 - INFO - ===== ETF动量轮动策略启动 =====
2025-12-08 16:58:04 - INFO - ETF轮动策略运行正常 | 总资产: 125981.36 | 可用资金: 16588.36 | 持仓数量: 5
2025-12-08 16:58:04 - INFO - === 开始执行每日日线数据下载任务 (20251208) ===
2025-12-08 16:58:04 - INFO - [1/24] 下载 513100.SH (纳指ETF) 的日线数据...
2025-12-08 16:58:04 - INFO - [2/24] 下载 159509.SZ (纳指科技ETF) 的日线数据...
2025-12-08 16:58:04 - INFO - [3/24] 下载 513520.SH (日经ETF) 的日线数据...
2025-12-08 16:58:04 - INFO - [4/24] 下载 513030.SH (德国ETF) 的日线数据...
2025-12-08 16:58:04 - INFO - [5/24] 下载 513130.SH (恒生科技) 的日线数据...
2025-12-08 16:58:04 - INFO - [6/24] 下载 510180.SH (上证180) 的日线数据...
2025-12-08 16:58:04 - INFO - [7/24] 下载 159915.SZ (创业板ETF) 的日线数据...
2025-12-08 16:58:04 - INFO - [8/24] 下载 510410.SH (资源) 的日线数据...
2025-12-08 16:58:04 - INFO - [9/24] 下载 515650.SH (消费50) 的日线数据...
2025-12-08 16:58:04 - INFO - [10/24] 下载 512290.SH (生物医药) 的日线数据...
2025-12-08 16:58:05 - INFO - [11/24] 下载 588120.SH (科创100) 的日线数据...
2025-12-08 16:58:05 - INFO - [12/24] 下载 515070.SH (人工智能ETF) 的日线数据...
2025-12-08 16:58:05 - INFO - [13/24] 下载 159851.SZ (金融科技) 的日线数据...
2025-12-08 16:58:05 - INFO - [14/24] 下载 159755.SZ (电池ETF) 的日线数据...
2025-12-08 16:58:05 - INFO - [15/24] 下载 516160.SH (新能源) 的日线数据...
2025-12-08 16:58:05 - INFO - [16/24] 下载 513050.SH (中概互联网ETF) 的日线数据...
2025-12-08 16:58:05 - INFO - [17/24] 下载 512710.SH (军工ETF) 的日线数据...
2025-12-08 16:58:05 - INFO - [18/24] 下载 159692.SZ (证券) 的日线数据...
2025-12-08 16:58:05 - INFO - [19/24] 下载 512480.SH (半导体) 的日线数据...
2025-12-08 16:58:05 - INFO - [20/24] 下载 518880.SH (黄金ETF) 的日线数据...
2025-12-08 16:58:05 - INFO - [21/24] 下载 159980.SZ (有色ETF) 的日线数据...
2025-12-08 16:58:05 - INFO - [22/24] 下载 159985.SZ (豆粕ETF) 的日线数据...
2025-12-08 16:58:05 - INFO - [23/24] 下载 501018.SH (南方原油) 的日线数据...
2025-12-08 16:58:05 - INFO - [24/24] 下载 511090.SH (30年国债ETF) 的日线数据...
2025-12-08 16:58:05 - INFO - === 所有ETF日线数据下载完成 ===
