stock_code,stock_name,股票代码,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,市盈率-动态,市净率,总市值,流通市值,流通股本(万股)
bj430017,星昊医药,430017.0,0.2,142178012.19,-7.8564146468,-20.9021,25031096.91,0.31,508.6464,1.61,0.21469460275,68.3338740101,化学制药,2025-04-28,27.79,1.44,2283041124.0,2252342043.0,123280900.0
bj430047,诺思兰德,430047.0,-0.03,16420451.13,1.8541956952,-7.0194,-7716806.44,37.0072408528,27.1025,-2.36,-0.06899499553,65.2567345146,生物制品,2025-04-23,-175.64,22.19,6922624624.0,4545886217.0,180106427.0
bj430090,同辉信息,430090.0,-0.03,20138964.17,-87.1223932546,-20.1719,-5974458.18,-2776.13,86.1056,-5.84,-0.04691269,9.9856609954,软件开发,2025-04-25,-53.35,16.89,1534868304.0,1042174980.0,135347400.0
bj430139,华岭股份,430139.0,-0.04,64032460.39,-0.09139855,-25.3684,-9720190.46,-286.27,-4935.0312,-0.89,0.067275507196,20.0386531016,半导体,2025-04-28,-247.18,6.15,6683783322.0,6459618304.0,260468480.0
bj430198,微创光电,430198.0,-0.25,21587566.8,-11.3891043912,-85.9239,-40504007.01,7.15,-167.6536,-9.59,0.048528381124,35.7918980475,计算机设备,2025-04-25,-19.91,4.05,1628161468.0,707843144.0,70152938.0
bj430300,辰光医疗,430300.0,-0.1,25074439.29,20.208561076,-23.7753,-8582701.78,5.22,80.9372,-3.84,-0.09548783159,30.8382780192,医疗器械,2025-04-29,-45.8,6.36,1357243062.0,1051865481.0,66531656.0
bj430418,苏轴股份,430418.0,0.26,170770143.4,2.2790552078,1.2795,34915381.58,6.6,5.6416,4.18,0.41932123715,37.1798446297,通用设备,2025-04-28,29.23,5.66,4825941120.0,4633090377.0,155996309.0
bj430425,乐创技术,430425.0,0.18,23852670.57,20.0334132287,25.8861,8959071.52,82.39,212.0506,3.59,0.071152848145,69.1811096438,软件开发,2025-04-25,46.14,6.66,1685452380.0,1406907960.0,59213298.0
bj430476,海能技术,430476.0,-0.01,55499234.81,37.8477723801,-56.0642,-519426.01,96.01,-102.9264,-0.11,-0.304865355558,64.3094050435,仪器仪表,2025-04-28,194.05,4.85,2123532414.0,2010105476.0,80629983.0
bj430478,峆一药业,430478.0,0.34,80341636.5,14.7329452989,8.9961,19231299.51,54.39,56.8327,3.89,0.445598582012,39.5706270434,化学制药,2025-04-28,21.4,3.43,1730017226.0,1037589441.0,47206071.0
bj430489,佳先股份,,,,,,,,,,,,,,-,-,-,-,
bj430510,丰光精密,430510.0,-0.01,50953654.87,-11.1527657691,3.1994,-2368374.85,-141.34,-159.2157,-0.59,0.03855996568,25.8542346444,通用设备,2025-04-23,-1214.04,9.09,3647435794.0,1859201744.0,93899078.0
bj430556,雅达股份,430556.0,0.04,75860845.14,24.1104880535,-22.0043,6230240.45,28.44,-8.2007,1.2,-0.052751952079,31.4516692056,仪器仪表,2025-04-25,51.99,3.39,1750269920.0,1282100438.0,118165939.0
bj430564,天润科技,430564.0,-0.08,16174684.49,6.1623178141,-85.7968,-6232805.08,2.51,-129.9739,-1.96,-0.142257890059,37.394778759,软件开发,2025-04-28,-143.57,6.52,2052056392.0,933073070.0,40515548.0
bj430685,新芝生物,430685.0,0.07,32661264.97,19.0788525755,-45.0087,6501584.76,121.46,-67.4507,1.2,-0.062904687283,63.2313067145,仪器仪表,2025-04-28,59.7,2.65,1416666767.0,848165918.0,54791080.0
bj430718,合肥高科,430718.0,0.2,325387202.51,21.3745913957,-15.1408,17883391.4,-12.18,-35.5704,3.14,0.023222865947,12.3768160762,电子元件,2025-04-24,27.5,2.87,1670080614.0,787350356.0,42744319.0
bj830779,武汉蓝电,830779.0,0.2,27241638.72,-12.3526603609,-51.3079,11526595.69,-24.41,-35.9816,2.23,0.101454620979,64.0710224131,仪器仪表,2025-04-28,56.72,6.92,3355931515.0,839591496.0,20033202.0
