股票代码,股票名称,持仓数量,平均成本,当前价格,盈亏%,持有天数,跌破五日,题材
sz002558,巨人网络,200,19.94,23.05,33.70110330992976,13,否,游戏+人工智能
sh600201,生物股份,200,7.76,7.97,4.510309278350515,5,否,创新药
sh603880,南卫股份,200,6.0,6.13,1.5833333333333335,5,否,医疗器械
sh603980,吉华集团,400,5.52,5.68,2.8985507246376816,4,否,化工(分散染料)
sh603212,赛伍技术,300,11.96,12.87,7.636566332218493,4,否,芯片+光伏
sh600250,南京商旅,300,11.68,11.68,0.0,1,否,旅游+江苏省
sh601162,天风证券,1800,4.85,4.8,-1.0309278350515465,0,否,证券
sz002355,兴民智通,1400,7.88,7.91,0.38071065989847713,0,否,智能驾驶(无人驾驶)
sh600391,航发科技,100,28.92,28.95,0.1037344398340249,0,否,大飞机
sh601177,杭齿前进,400,18.66,18.54,-0.6296891747052519,0,是,机器人概念
sh600184,光电股份,200,17.06,17.26,1.1723329425557125,0,否,军工(导弹)
