名称,综合强度
珠宝首饰,90.23255813953489
美容护理,84.41860465116278
食品饮料,83.25581395348837
保险,79.06976744186046
房地产服务,77.09302325581396
医疗服务,75.11627906976744
生物制品,74.88372093023256
包装材料,72.79069767441861
计算机设备,72.7906976744186
通信设备,72.55813953488371
旅游酒店,71.74418604651163
医药商业,71.16279069767441
医疗器械,71.16279069767441
小金属,69.76744186046511
铁路公路,69.18604651162791
玻璃玻纤,69.06976744186046
贵金属,68.37209302325581
工程咨询服务,68.37209302325581
证券,67.67441860465117
多元金融,67.67441860465117
房地产开发,66.97674418604652
采掘行业,66.04651162790697
综合行业,65.81395348837209
电池,65.5813953488372
煤炭行业,65.34883720930233
装修建材,63.95348837209302
船舶制造,63.372093023255815
航空机场,62.90697674418605
游戏,61.16279069767442
电子元件,60.93023255813954
