date,stock_code,price,weight,triggered,trigger_time
2025-06-27,002820.SZ,11.67,0.4,False,
2025-06-27,002820.SZ,11.6,0.3,False,
2025-06-27,002820.SZ,11.55,0.3,False,
2025-06-27,600590.SH,9.29,0.4,False,
2025-06-27,600590.SH,9.24,0.3,False,
2025-06-27,600590.SH,9.2,0.3,False,
2025-06-27,600592.SH,22.78,0.4,False,
2025-06-27,600592.SH,22.64,0.3,False,
2025-06-27,600592.SH,22.55,0.3,False,
2025-06-27,600604.SH,5.21,0.4,False,
2025-06-27,600604.SH,5.17,0.3,False,
2025-06-27,600604.SH,5.15,0.3,False,
2025-06-27,601133.SH,12.46,0.4,False,
2025-06-27,601133.SH,12.38,0.3,False,
2025-06-27,601133.SH,12.33,0.3,False,
2025-06-27,603212.SH,11.98,0.4,False,
2025-06-27,603212.SH,11.91,0.3,False,
2025-06-27,603212.SH,11.86,0.3,False,
2025-06-27,603980.SH,5.56,0.4,False,
2025-06-27,603980.SH,5.53,0.3,False,
2025-06-27,603980.SH,5.51,0.3,False,
2025-06-27,000519.SZ,1914.0%,0.4,False,
2025-06-27,000519.SZ,1902.0%,0.3,False,
2025-06-27,000519.SZ,1894.0000000000002%,0.3,False,
2025-06-27,002281.SZ,4752.0%,0.4,True,
2025-06-27,002281.SZ,4723.0%,0.3,False,
2025-06-27,002281.SZ,4704.0%,0.3,False,
2025-06-27,002355.SZ,769.0%,0.4,False,
2025-06-27,002355.SZ,765.0%,0.3,False,
2025-06-27,002355.SZ,762.0%,0.3,False,
2025-06-27,002705.SZ,1479.0%,0.4,False,
2025-06-27,002705.SZ,1469.0%,0.3,False,
2025-06-27,002705.SZ,1463.0%,0.3,False,
2025-06-27,002820.SZ,1167.0%,0.4,True,2025-06-27 09:38:03
2025-06-27,002820.SZ,1160.0%,0.3,True,2025-06-27 09:39:06
2025-06-27,002820.SZ,1155.0%,0.3,False,
2025-06-27,002882.SZ,3388.0000000000005%,0.4,False,
2025-06-27,002882.SZ,3367.0%,0.3,False,
2025-06-27,002882.SZ,3354.0%,0.3,False,
2025-06-27,600184.SH,1585.0%,0.4,False,
2025-06-27,600184.SH,1575.0%,0.3,False,
2025-06-27,600184.SH,1568.0%,0.3,False,
2025-06-27,600318.SH,963.0000000000001%,0.4,False,
2025-06-27,600318.SH,957.0%,0.3,False,
2025-06-27,600318.SH,952.9999999999999%,0.3,False,
2025-06-27,600391.SH,2700.0%,0.4,False,
2025-06-27,600391.SH,2684.0%,0.3,False,
2025-06-27,600391.SH,2672.0%,0.3,False,
2025-06-27,600590.SH,928.9999999999999%,0.4,True,2025-06-27 09:38:03
2025-06-27,600590.SH,924.0%,0.3,True,2025-06-27 09:38:09
2025-06-27,600590.SH,919.9999999999999%,0.3,False,
2025-06-27,601133.SH,1246.0%,0.4,True,2025-06-27 09:38:01
2025-06-27,601133.SH,1238.0%,0.3,True,2025-06-27 09:38:01
2025-06-27,601133.SH,1233.0%,0.3,True,2025-06-27 09:38:04
2025-06-27,601162.SH,444.00000000000006%,0.4,False,
2025-06-27,601162.SH,441.0%,0.3,False,
2025-06-27,601162.SH,440.00000000000006%,0.3,False,
2025-06-27,601177.SH,1826.0000000000002%,0.4,False,
2025-06-27,601177.SH,1814.9999999999998%,0.3,False,
2025-06-27,601177.SH,1807.0%,0.3,False,
2025-06-27,603032.SH,1804.0%,0.4,False,
2025-06-27,603032.SH,1793.0%,0.3,False,
2025-06-27,603032.SH,1786.0%,0.3,False,
2025-06-27,603119.SH,4394.0%,0.4,False,
2025-06-27,603119.SH,4367.0%,0.3,False,
2025-06-27,603119.SH,4349.0%,0.3,False,
2025-06-27,603123.SH,1418.0%,0.4,False,
2025-06-27,603123.SH,1409.0%,0.3,False,
2025-06-27,603123.SH,1403.0%,0.3,False,
2025-06-27,603212.SH,1198.0%,0.4,True,2025-06-27 09:38:12
2025-06-27,603212.SH,1191.0%,0.3,True,2025-06-27 09:39:00
2025-06-27,603212.SH,1186.0%,0.3,False,
2025-06-27,603258.SH,2410.0%,0.4,True,
2025-06-27,603258.SH,2396.0%,0.3,False,
2025-06-27,603258.SH,2386.0%,0.3,False,
2025-06-27,603275.SH,4446.0%,0.4,False,
2025-06-27,603275.SH,4418.0%,0.3,False,
2025-06-27,603275.SH,4400.0%,0.3,False,
2025-06-27,603383.SH,4131.0%,0.4,False,
2025-06-27,603383.SH,4105.0%,0.3,False,
2025-06-27,603383.SH,4088.0000000000005%,0.3,False,
2025-06-27,603800.SH,2606.0%,0.4,True,
2025-06-27,603800.SH,2590.0%,0.3,False,
2025-06-27,603800.SH,2580.0%,0.3,False,
2025-06-27,603920.SH,2953.0%,0.4,True,
2025-06-27,603920.SH,2935.0%,0.3,False,
2025-06-27,603920.SH,2923.0%,0.3,False,
2025-06-27,603929.SH,3247.9999999999995%,0.4,False,
2025-06-27,603929.SH,3227.0000000000005%,0.3,False,
2025-06-27,603929.SH,3214.0%,0.3,False,
2025-06-27,605378.SH,1950.0%,0.4,False,
2025-06-27,605378.SH,1938.0%,0.3,False,
2025-06-27,605378.SH,1930.0%,0.3,False,
2025-06-27,605398.SH,3220.0000000000005%,0.4,False,
2025-06-27,605398.SH,3201.0%,0.3,False,
2025-06-27,605398.SH,3188.0%,0.3,False,
2025-06-27,603032.SH,18.04,40.0%,True,2025-06-27 13:37:52
2025-06-27,603032.SH,17.93,30.0%,True,2025-06-27 13:37:55
2025-06-27,603032.SH,17.86,30.0%,True,2025-06-27 13:54:25
2025-06-27,605398.SH,32.2,40.0%,False,
2025-06-27,605398.SH,32.01,30.0%,False,
2025-06-27,605398.SH,31.88,30.0%,False,
2025-06-27,000519.SZ,19.14,40.0%,False,
2025-06-27,000519.SZ,19.02,30.0%,False,
