date,stock_code,price,ratio,triggered,trigger_time
2025-07-08,000670.SZ,7.88,40.0%,False,
2025-07-08,000670.SZ,7.8,30.0%,False,
2025-07-08,000670.SZ,7.72,30.0%,False,
2025-07-08,001210.SZ,15.16,40.0%,True,2025-07-08 10:42:13
2025-07-08,001210.SZ,15.0,30.0%,True,2025-07-08 10:45:16
2025-07-08,001210.SZ,14.83,30.0%,True,2025-07-08 10:45:16
2025-07-08,600423.SH,3.65,40.0%,True,2025-07-08 10:45:16
2025-07-08,600423.SH,3.61,30.0%,True,2025-07-08 10:45:16
2025-07-08,600423.SH,3.58,30.0%,False,
2025-07-08,002093.SZ,13.38,40.0%,False,
2025-07-08,002093.SZ,13.24,30.0%,False,
2025-07-08,002093.SZ,13.1,30.0%,False,
2025-07-08,002908.SZ,10.79,40.0%,False,
2025-07-08,002908.SZ,10.68,30.0%,False,
2025-07-08,002908.SZ,10.56,30.0%,False,
2025-07-08,601208.SH,10.46,40.0%,False,
2025-07-08,601208.SH,10.35,30.0%,False,
2025-07-08,601208.SH,10.25,30.0%,False,
2025-07-08,603130.SH,32.76,40.0%,False,
2025-07-08,603130.SH,32.43,30.0%,False,
2025-07-08,603130.SH,32.09,30.0%,False,
