2025-11-08 09:15:37 - INFO - ===== ETF动量轮动策略启动 =====
2025-11-08 09:15:37 - INFO - ETF轮动策略运行正常 | 总资产: 105780.49 | 可用资金: 16.49 | 持仓数量: 1
2025-11-08 09:45:37 - INFO - ETF轮动策略运行正常 | 总资产: 105232.49 | 可用资金: 16.49 | 持仓数量: 1
2025-11-08 10:15:37 - INFO - ETF轮动策略运行正常 | 总资产: 105013.29 | 可用资金: 16.49 | 持仓数量: 1
2025-11-08 10:45:37 - INFO - ETF轮动策略运行正常 | 总资产: 105780.49 | 可用资金: 16.49 | 持仓数量: 1
2025-11-08 11:15:37 - INFO - ETF轮动策略运行正常 | 总资产: 106383.29 | 可用资金: 16.49 | 持仓数量: 1
2025-11-08 11:45:37 - INFO - ETF轮动策略运行正常 | 总资产: 106383.29 | 可用资金: 16.49 | 持仓数量: 1
2025-11-08 12:15:37 - INFO - ETF轮动策略运行正常 | 总资产: 106383.29 | 可用资金: 16.49 | 持仓数量: 1
2025-11-08 12:45:37 - INFO - ETF轮动策略运行正常 | 总资产: 106383.29 | 可用资金: 16.49 | 持仓数量: 1
2025-11-08 13:15:37 - INFO - ETF轮动策略运行正常 | 总资产: 106383.29 | 可用资金: 16.49 | 持仓数量: 1
2025-11-08 13:45:37 - INFO - ETF轮动策略运行正常 | 总资产: 106383.29 | 可用资金: 16.49 | 持仓数量: 1
2025-11-08 14:15:37 - INFO - ETF轮动策略运行正常 | 总资产: 106383.29 | 可用资金: 16.49 | 持仓数量: 1
