股票代码,股票名称,持仓数量,持有金额,平均成本,当前价格,盈亏%,持有天数,跌破五日,题材
sz000818,航锦科技,300,7203.000000000001,26.72,24.01,-23.665169660678643,6,是,芯片+DeepSeek
sh605100,华丰股份,200,5194.0,27.81,25.97,-10.104279036317871,2,是,柴油发电机+数据中心
sz002690,美亚光电,900,18063.0,20.01,20.07,0.2998500749625187,2,否,年报增长+医疗器械
sz002369,卓翼科技,800,8000.0,11.28,10.0,-11.247783687943263,7,是,消费电子+AI眼镜
sh603612,索通发展,400,10008.0,21.25,25.02,16.44705882352941,41,是,金属铝+激光雷达
sh605289,罗曼股份,300,15450.0,52.25,51.5,-1.4354066985645932,0,否,并购重组+算力
sz000016,深康佳Ａ,1700,9197.0,5.97,5.41,-12.375603507734752,7,是,深圳+AI眼镜
sh600797,浙大网新,800,8616.0,11.68,10.77,-5.3938356164383565,6,是,人工智能+芯片
sz002716,湖南白银,3300,19800.0,5.99,6.0,0.1669449081803005,0,否,白银+黄金
sz001222,源飞宠物,700,18060.0,25.99,25.8,-0.7310504040015391,0,否,宠物经济
sz002593,日上集团,1800,9468.0,5.64,5.26,-7.574862096138692,6,是,中报增长
sh600980,北矿科技,300,7500.0,27.95,25.0,-24.26952892069171,5,是,稀土永磁
sh603266,天龙股份,300,6531.0,20.09,21.77,7.200929152148665,47,是,汽车零部件
