行业代码,行业名称,上级行业,成份个数,静态市盈率,TTM(滚动)市盈率,市净率,静态股息率
850111.SI,种子,种植业,8,106.16,146.28,3.31,0.45
850113.SI,其他种植业,种植业,6,73.91,57.81,3.05,0.7
850122.SI,水产养殖,渔业,4,89.82,95.3,1.14,0.33
850142.SI,畜禽饲料,饲料,10,25.09,15.94,1.79,1.38
850151.SI,果蔬加工,农产品加工,5,57.13,45.34,3.78,0.99
850152.SI,粮油加工,农产品加工,7,56.31,44.85,1.69,0.56
850154.SI,其他农产品加工,农产品加工,10,33.1,32.58,2.23,1.94
850172.SI,生猪养殖,养殖业,12,14.88,15.21,2.8,2.76
850173.SI,肉鸡养殖,养殖业,8,20.91,22.05,2.08,3.09
850181.SI,动物保健Ⅲ,动物保健Ⅱ,10,50.11,36.19,2.13,1.22
850322.SI,氯碱,化学原料,14,27.52,24.88,1.63,1.82
850323.SI,无机盐,化学原料,10,42.44,60.29,3.02,0.88
850324.SI,其他化学原料,化学原料,14,17.99,17.86,2.82,1.55
850325.SI,煤化工,化学原料,8,26.39,19.5,2.31,2.52
850326.SI,钛白粉,化学原料,6,27.06,45.52,2.11,1.81
850335.SI,涂料油墨,化学制品,16,55.3,65.49,3.79,0.79
850337.SI,民爆制品,化学制品,13,35.35,34.36,2.9,0.92
850338.SI,纺织化学制品,化学制品,13,38.37,38.45,1.85,1.56
850339.SI,其他化学制品,化学制品,73,38.75,38.6,2.91,1.11
850382.SI,氟化工,化学制品,10,55.34,30.72,4.31,0.71
850372.SI,聚氨酯,化学制品,8,24.69,28.83,2.83,0.75
850135.SI,食品及饲料添加剂,化学制品,22,20.75,16.99,2.32,2.46
850136.SI,有机硅,化学制品,10,38.62,40.41,3.08,1.09
850341.SI,涤纶,化学纤维,10,33.5,28.69,2.12,1.39
850343.SI,粘胶,化学纤维,4,54.01,83.66,2.24,0.0
850351.SI,其他塑料制品,塑料,20,52.05,51.96,2.91,0.75
850353.SI,改性塑料,塑料,18,56.75,44.13,3.04,0.62
850354.SI,合成树脂,塑料,14,63.19,54.47,5.59,0.7
850355.SI,膜材料,塑料,20,111.4,100.86,4.95,0.4
850362.SI,其他橡胶制品,橡胶,9,46.44,51.61,2.77,0.6
850363.SI,炭黑,橡胶,6,22.83,22.91,2.27,1.7
850331.SI,氮肥,农化制品,6,21.97,26.45,2.53,1.44
850332.SI,磷肥及磷化工,农化制品,9,22.22,20.31,2.89,2.73
850333.SI,农药,农化制品,30,38.18,29.85,2.75,1.59
850381.SI,复合肥,农化制品,10,22.43,18.82,2.08,1.83
850523.SI,非金属材料Ⅲ,非金属材料Ⅱ,7,73.68,65.16,4.23,0.54
850442.SI,板材,普钢,17,35.93,24.75,1.01,1.54
850521.SI,其他金属新材料,金属新材料,16,56.28,65.02,5.2,0.64
850522.SI,磁性材料,金属新材料,14,110.45,77.97,5.17,0.63
850551.SI,铝,工业金属,31,21.07,19.34,2.59,2.07
850552.SI,铜,工业金属,16,35.69,26.68,4.83,1.28
850553.SI,铅锌,工业金属,13,51.01,42.41,4.66,0.65
850531.SI,黄金,贵金属,10,56.59,39.17,6.09,0.78
850544.SI,其他小金属,小金属,14,63.96,65.59,4.85,0.56
850812.SI,分立器件,半导体,18,72.43,59.8,4.45,0.38
850813.SI,半导体材料,半导体,24,112.07,102.14,6.88,0.35
850814.SI,数字芯片设计,半导体,51,130.53,105.06,9.67,0.22
850815.SI,模拟芯片设计,半导体,35,92.33,79.52,5.94,0.46
850817.SI,集成电路封测,半导体,12,83.85,72.33,3.85,0.27
850818.SI,半导体设备,半导体,24,97.48,83.97,9.87,0.15
850822.SI,印制电路板,元件,42,90.87,62.47,7.97,0.65
850823.SI,被动元件,元件,15,51.48,45.74,4.42,0.77
850831.SI,面板,光学光电子,37,34.99,28.82,1.67,1.04
850832.SI,LED,光学光电子,30,114.63,124.03,2.77,0.59
850833.SI,光学元件,光学光电子,25,90.7,77.19,7.69,0.48
850841.SI,其他电子Ⅲ,其他电子Ⅱ,33,92.33,78.74,6.18,0.48
850853.SI,品牌消费电子,消费电子,10,26.22,35.0,4.71,2.44
850854.SI,消费电子零部件及组装,消费电子,80,47.41,39.0,5.27,0.82
850861.SI,电子化学品Ⅲ,电子化学品Ⅱ,34,90.82,80.66,5.5,0.4
850922.SI,车身附件及饰件,汽车零部件,36,22.83,21.72,2.72,2.52
850923.SI,底盘与发动机系统,汽车零部件,90,37.81,35.72,3.51,1.24
850924.SI,轮胎轮毂,汽车零部件,21,17.18,18.7,1.94,1.94
850925.SI,其他汽车零部件,汽车零部件,54,43.01,38.79,3.39,0.94
850926.SI,汽车电子电气系统,汽车零部件,36,47.03,43.15,3.95,0.91
850232.SI,汽车经销商,汽车服务,5,45.74,50.79,1.51,1.28
850233.SI,汽车综合服务,汽车服务,5,27.65,23.28,2.77,1.88
