date,up_count,down_count
2024-02-01,1054,3858
2024-02-02,360,4552
2024-02-03,0,0
2024-02-04,0,0
2024-02-05,375,4537
2024-02-06,3518,1396
2024-02-07,2093,2822
2024-02-08,4513,404
2024-02-09,0,0
2024-02-10,0,0
2024-02-11,0,0
2024-02-12,0,0
2024-02-13,0,0
2024-02-14,0,0
2024-02-15,0,0
2024-02-16,0,0
2024-02-17,0,0
2024-02-18,0,0
2024-02-19,3872,1045
2024-02-20,3190,1727
2024-02-21,3834,1083
2024-02-22,4334,583
2024-02-23,4187,729
2024-02-24,0,0
2024-02-25,0,0
2024-02-26,3443,1473
2024-02-27,4628,288
2024-02-28,226,4690
2024-02-29,4835,81
2024-03-01,3332,1585
2024-03-02,0,0
2024-03-03,0,0
2024-03-04,1976,2941
2024-03-05,863,4054
2024-03-06,3107,1809
2024-03-07,1437,3479
2024-03-08,3408,1509
2024-03-09,0,0
2024-03-10,0,0
2024-03-11,4148,768
2024-03-12,3469,1449
2024-03-13,2157,2763
2024-03-14,1435,3485
2024-03-15,4010,909
2024-03-16,0,0
2024-03-17,0,0
2024-03-18,4309,609
2024-03-19,1616,3304
2024-03-20,3608,1313
2024-03-21,2095,2826
2024-03-22,841,4080
2024-03-23,0,0
2024-03-24,0,0
2024-03-25,678,4243
2024-03-26,2396,2525
2024-03-27,441,4481
2024-03-28,4259,665
2024-03-29,3689,1235
2024-03-30,0,0
2024-03-31,0,0
2024-04-01,4336,588
2024-04-02,2142,2783
2024-04-03,1658,3267
2024-04-04,0,0
2024-04-05,0,0
2024-04-06,0,0
2024-04-07,0,0
2024-04-08,757,4169
2024-04-09,3825,1102
2024-04-10,677,4250
2024-04-11,2557,2371
2024-04-12,1405,3523
2024-04-13,0,0
2024-04-14,0,0
2024-04-15,1194,3734
2024-04-16,252,4676
2024-04-17,4768,159
2024-04-18,1954,2973
2024-04-19,1575,3352
2024-04-20,0,0
2024-04-21,0,0
2024-04-22,1781,3146
2024-04-23,2960,1966
2024-04-24,3919,1007
2024-04-25,2795,2131
2024-04-26,3667,1256
2024-04-27,0,0
2024-04-28,0,0
2024-04-29,4218,705
2024-04-30,1753,3173
2024-05-01,0,0
2024-05-02,0,0
2024-05-03,0,0
2024-05-04,0,0
2024-05-05,0,0
2024-05-06,4259,667
2024-05-07,2888,2038
2024-05-08,854,4070
2024-05-09,4083,844
2024-05-10,1295,3632
2024-05-11,0,0
2024-05-12,0,0
2024-05-13,1051,3878
2024-05-14,3267,1663
2024-05-15,1194,3736
2024-05-16,2678,2253
